# ll                            TT_ab/TT                EE_ab/EE
2.280000000000000000e+02 9.982167573746850708e-01 1.004400219858082366e+00
2.290000000000000000e+02 9.981968133487632011e-01 1.004516765832995207e+00
2.300000000000000000e+02 9.981709604745371278e-01 1.004622568051880105e+00
2.310000000000000000e+02 9.981503340698509863e-01 1.004724665658224714e+00
2.320000000000000000e+02 9.981329353157873951e-01 1.004815672964488593e+00
2.330000000000000000e+02 9.981058919385069617e-01 1.004917708769063500e+00
2.340000000000000000e+02 9.980827447244214889e-01 1.004992727408301922e+00
2.350000000000000000e+02 9.980618166996094720e-01 1.005043780820342292e+00
2.360000000000000000e+02 9.980367203727121828e-01 1.005106104951704493e+00
2.370000000000000000e+02 9.980140116710853881e-01 1.005161977868021639e+00
2.380000000000000000e+02 9.979945192270626153e-01 1.005206072072765133e+00
2.390000000000000000e+02 9.979681615607728373e-01 1.005241444455605926e+00
2.400000000000000000e+02 9.979437697993795986e-01 1.005266312367659287e+00
2.410000000000000000e+02 9.979266069572999553e-01 1.005289613941247717e+00
2.420000000000000000e+02 9.978979006756457659e-01 1.005314828303038199e+00
2.430000000000000000e+02 9.978745219641043107e-01 1.005320058141095485e+00
2.440000000000000000e+02 9.978498145680233522e-01 1.005327319641994066e+00
2.450000000000000000e+02 9.978231228250662443e-01 1.005338138868912434e+00
2.460000000000000000e+02 9.978033878323376848e-01 1.005325365766749801e+00
2.470000000000000000e+02 9.977774507691185013e-01 1.005338630091733521e+00
2.480000000000000000e+02 9.977564676789522080e-01 1.005323754285320170e+00
2.490000000000000000e+02 9.977305764337358607e-01 1.005308373209487183e+00
2.500000000000000000e+02 9.977064383603569953e-01 1.005296455565607872e+00
2.510000000000000000e+02 9.976774942276241953e-01 1.005273097359367096e+00
2.520000000000000000e+02 9.976528303584784041e-01 1.005244948259749416e+00
2.530000000000000000e+02 9.976355036166756340e-01 1.005228560035788199e+00
2.540000000000000000e+02 9.976056027630662015e-01 1.005199750730384700e+00
2.550000000000000000e+02 9.975816562066416315e-01 1.005168522842825984e+00
