# ll				TT_ab/TT 		EE_ab/EE
2.570000000000000000e+02 1.003515683703124495e+00 9.927398178614730284e-01
2.580000000000000000e+02 1.003551186504350712e+00 9.927813159801681664e-01
2.590000000000000000e+02 1.003581416554211625e+00 9.928264465324363464e-01
2.600000000000000000e+02 1.003621412178239192e+00 9.928892105691754510e-01
2.610000000000000000e+02 1.003665385851862712e+00 9.929437729094509058e-01
2.620000000000000000e+02 1.003687693446226215e+00 9.929939307466313370e-01
2.630000000000000000e+02 1.003726907356311315e+00 9.930512667462311205e-01
2.640000000000000000e+02 1.003775894335720009e+00 9.931165789919885745e-01
2.650000000000000000e+02 1.003808953204124554e+00 9.931717370193556826e-01
2.660000000000000000e+02 1.003846507972788071e+00 9.932376803539321175e-01
2.670000000000000000e+02 1.003886220236538840e+00 9.932961366518526791e-01
2.680000000000000000e+02 1.003935133059493223e+00 9.933518744677097834e-01
2.690000000000000000e+02 1.003967954832044152e+00 9.934267214977349214e-01
2.700000000000000000e+02 1.004005351727897066e+00 9.934921351059369243e-01
2.710000000000000000e+02 1.004044149531767127e+00 9.935511020800475990e-01
2.720000000000000000e+02 1.004077340733098955e+00 9.936213227307466589e-01
2.730000000000000000e+02 1.004116093758132822e+00 9.936900578432453779e-01
2.740000000000000000e+02 1.004161957045031750e+00 9.937484605753863498e-01
2.750000000000000000e+02 1.004197184360445361e+00 9.938250086590085797e-01
2.760000000000000000e+02 1.004234025376524730e+00 9.938902504677280536e-01
2.770000000000000000e+02 1.004278643411493865e+00 9.939566323796897862e-01
2.780000000000000000e+02 1.004315627388010945e+00 9.940227377253452179e-01
2.790000000000000000e+02 1.004359422232026455e+00 9.940991051345619001e-01
2.800000000000000000e+02 1.004388542079676316e+00 9.941606728213163713e-01
2.810000000000000000e+02 1.004432728025391297e+00 9.942284430281652652e-01
2.820000000000000000e+02 1.004476935007887262e+00 9.943104751081188741e-01
2.830000000000000000e+02 1.004511016056577333e+00 9.943677180385894765e-01
2.840000000000000000e+02 1.004547784203053240e+00 9.944359208711871512e-01
2.850000000000000000e+02 1.004588265565941274e+00 9.945072293389254359e-01
2.860000000000000000e+02 1.004637192303591497e+00 9.945756550128006523e-01
2.870000000000000000e+02 1.004675470424162720e+00 9.946416217624985956e-01
2.880000000000000000e+02 1.004709097417181285e+00 9.947097611868386258e-01
2.890000000000000000e+02 1.004754078641111992e+00 9.947893450458604736e-01
2.900000000000000000e+02 1.004785100085141325e+00 9.948375134380511575e-01
2.910000000000000000e+02 1.004842875889174092e+00 9.948931368555374855e-01
2.920000000000000000e+02 1.004880895066604163e+00 9.950087470846714632e-01
2.930000000000000000e+02 1.004908012834185849e+00 9.950625887085752241e-01
